sex,race1,ugpa,bar
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,hisp,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,black,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,c Failed
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,black,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
male,hisp,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,hisp,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,black,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,c Failed
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,black,3.5,c Failed
female,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,asian,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,c Failed
male,white,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
female,hisp,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,c Failed
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,hisp,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,other,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
male,hisp,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
female,asian,3.5,a Passed 1st time
male,hisp,3.5,a Passed 1st time
female,white,3.5,c Failed
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
male,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,hisp,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,hisp,3.5,a Passed 1st time
male,other,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,other,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,hisp,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,other,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,asian,3.5,c Failed
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,other,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,c Failed
male,hisp,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,other,3.5,a Passed 1st time
male,white,3.5,c Failed
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,black,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,other,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,hisp,3.5,c Failed
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,asian,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,black,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,other,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,black,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
male,white,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,other,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,black,3.5,c Failed
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,asian,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,asian,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,hisp,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,other,3.5,c Failed
female,white,3.5,a Passed 1st time
female,hisp,3.5,a Passed 1st time
female,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,other,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,black,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,black,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,b Passed 2nd time
male,white,3.5,a Passed 1st time
male,hisp,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,c Failed
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,c Failed
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
male,asian,3.5,a Passed 1st time
male,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
female,white,3.5,a Passed 1st time
